Infinitive,Tense,Person,Form
ser,present,1s,soy
ser,present,2s,eres
ser,present,3s,es
ser,present,1p,somos
ser,present,3p,son
ser,preterite,1s,fui
ser,preterite,2s,fuiste
ser,preterite,3s,fue
ser,preterite,1p,fuimos
ser,preterite,3p,fueron
ser,imperfect,1s,era
ser,imperfect,2s,eras
ser,imperfect,3s,era
ser,imperfect,1p,éramos
ser,imperfect,3p,eran
ser,subjunctive,1s,sea
ser,subjunctive,2s,seas
ser,subjunctive,3s,sea
ser,subjunctive,1p,seamos
ser,subjunctive,3p,sean
estar,present,1s,estoy
estar,present,2s,estás
estar,present,3s,está
estar,present,1p,estamos
estar,present,3p,están
estar,preterite,1s,estuve
estar,preterite,2s,estuviste
estar,preterite,3s,estuvo
estar,preterite,1p,estuvimos
estar,preterite,3p,estuvieron
estar,imperfect,1s,estaba
estar,imperfect,2s,estabas
estar,imperfect,3s,estaba
estar,imperfect,1p,estábamos
estar,imperfect,3p,estaban
estar,subjunctive,1s,esté
estar,subjunctive,2s,estés
estar,subjunctive,3s,esté
estar,subjunctive,1p,estemos
estar,subjunctive,3p,estén
ir,present,1s,voy
ir,present,2s,vas
ir,present,3s,va
ir,present,1p,vamos
ir,present,3p,van
ir,preterite,1s,fui
ir,preterite,2s,fuiste
ir,preterite,3s,fue
ir,preterite,1p,fuimos
ir,preterite,3p,fueron
ir,imperfect,1s,iba
ir,imperfect,2s,ibas
ir,imperfect,3s,iba
ir,imperfect,1p,íbamos
ir,imperfect,3p,iban
ir,subjunctive,1s,vaya
ir,subjunctive,2s,vayas
ir,subjunctive,3s,vaya
ir,subjunctive,1p,vayamos
ir,subjunctive,3p,vayan
tener,present,1s,tengo
tener,present,2s,tienes
tener,present,3s,tiene
tener,present,1p,tenemos
tener,present,3p,tienen
tener,preterite,1s,tuve
tener,preterite,2s,tuviste
tener,preterite,3s,tuvo
tener,preterite,1p,tuvimos
tener,preterite,3p,tuvieron
tener,imperfect,1s,tenía
tener,imperfect,2s,tenías
tener,imperfect,3s,tenía
tener,imperfect,1p,teníamos
tener,imperfect,3p,tenían
tener,subjunctive,1s,tenga
tener,subjunctive,2s,tengas
tener,subjunctive,3s,tenga
tener,subjunctive,1p,tengamos
tener,subjunctive,3p,tengan
hacer,present,1s,hago
hacer,present,2s,haces
hacer,present,3s,hace
hacer,present,1p,hacemos
hacer,present,3p,hacen
hacer,preterite,1s,hice
hacer,preterite,2s,hiciste
hacer,preterite,3s,hizo
hacer,preterite,1p,hicimos
hacer,preterite,3p,hicieron
hacer,imperfect,1s,hacía
hacer,imperfect,2s,hacías
hacer,imperfect,3s,hacía
hacer,imperfect,1p,hacíamos
hacer,imperfect,3p,hacían
hacer,subjunctive,1s,haga
hacer,subjunctive,2s,hagas
hacer,subjunctive,3s,haga
hacer,subjunctive,1p,hagamos
hacer,subjunctive,3p,hagan
poder,present,1s,puedo
poder,present,2s,puedes
poder,present,3s,puede
poder,present,1p,podemos
poder,present,3p,pueden
poder,preterite,1s,pude
poder,preterite,2s,pudiste
poder,preterite,3s,pudo
poder,preterite,1p,pudimos
poder,preterite,3p,pudieron
