Sentence,Infinitive,Tense,Person,Notes
[tengo] mucho trabajo,tener,present,1s,
mis padres [tienen] una casa grande,tener,present,3p,
[hacemos] la comida,hacer,present,1p,
ella [hace] la cena,hacer,present,3s,
no [puedo] dormir,poder,present,1s,
ellos no [pueden] entrar,poder,present,3p,
[dices] la verdad,decir,present,2s,
mi hermano [dice] que no,decir,present,3s,
[vamos] al mercado,ir,present,1p,
[voy] a la ciudad,ir,present,1s,
[estoy] muy enfermo,estar,present,1s,
los niños [están] en la escuela,estar,present,3p,
[quieres] ayudar,querer,present,2s,
ella [quiere] salir,querer,present,3s,
