Order,English,Deutsch,Gender,Type,Level,Unit,Example
1,on (days/times),am,null,preposition,A1,1,Wir treffen uns am Dienstag.
2,article,der Artikel,masculine,noun,A1,1,Ich lese einen interessanten Artikel online.
3,Goodbye!,Auf Wiedersehen!,null,phrase,A1,1,Auf Wiedersehen! Bis nächste Woche!
4,"from, out of",aus,null,preposition,A1,1,Ich komme aus der Schweiz.
5,"machine, vending machine",der Automat,masculine,noun,A1,1,Der Automat nimmt keine Zehn-Euro-Scheine an.
6,ATM,der Bankautomat,masculine,noun,A1,1,Wo ist der nächste Bankautomat hier bitte?
7,"picture, image",das Bild,neuter,noun,A1,1,Das ist ein schönes Bild.
8,book,das Buch,neuter,noun,A1,1,Ich lese ein Buch.
9,letter (of the alphabet),der Buchstabe,masculine,noun,A1,1,Wie viele Buchstaben hat das Wort?
10,to spell,buchstabieren,null,verb,A1,1,Können Sie bitte Ihren Namen buchstabieren?
11,computer,der Computer,masculine,noun,A1,1,Ich brauche einen neuen Computer.
12,German,deutsch,null,adjective,A1,1,Er ist ein deutscher Lehrer.
13,Germany,Deutschland,null,noun,A1,1,Ich komme aus Deutschland.
14,Tuesday,der Dienstag,masculine,noun,A1,1,Am Dienstag habe ich frei.
15,Thursday,der Donnerstag,masculine,noun,A1,1,Donnerstag ist unser Sporttag.
16,family,die Familie,feminine,noun,A1,1,Meine Familie ist klein.
17,feminine,feminin,null,adjective,A1,1,Sie hat einen femininen Stil.
18,question,die Frage,feminine,noun,A1,1,Ich habe eine Frage.
19,to ask,fragen,null,verb,A1,1,Ich frage den Lehrer.
20,Friday,der Freitag,masculine,noun,A1,1,Freitag ist der letzte Arbeitstag.
21,to believe,glauben,null,verb,A1,1,"Ich glaube, du schaffst das."
22,Good day!,Guten Tag!,null,phrase,A1,1,Guten Tag! Wie geht es Ihnen?
23,Hello!,Hallo!,null,phrase,A1,1,Hallo! Wie geht's dir?
24,"notebook, exercise book",das Heft,neuter,noun,A1,1,Schreibe es in dein Heft.
25,to be called,heißen,null,verb,A1,1,Ich heiße Anna und komme aus Berlin.
26,conjugation,die Konjugation,feminine,noun,A1,1,Die Konjugation der Verben ist wichtig.
27,ballpoint pen,der Kuli,masculine,noun,A1,1,Wo ist mein Kuli?
28,"easy, light",leicht,null,adjective,A1,1,Diese Übung ist sehr leicht.
29,to learn,lernen,null,verb,A1,1,Wir lernen jeden Tag Deutsch.
30,masculine,maskulin,null,adjective,A1,1,Das Wort „Mann“ ist maskulin.
31,"person, human being",der Mensch,masculine,noun,A1,1,Jeder Mensch braucht Wasser.
32,Wednesday,der Mittwoch,masculine,noun,A1,1,Am Mittwoch habe ich frei.
33,Monday,der Montag,masculine,noun,A1,1,Der Montag ist der erste Wochentag.
34,no,nein,null,adverb,A1,1,"Nein, das ist leider nicht die richtige Antwort."
35,neuter,neutral,null,adjective,A1,1,Das Wort „Kind“ ist neutral.
36,"still, yet",noch,null,adverb,A1,1,Ich wohne noch bei meinen Eltern in München.
