Order,English,Español
1,I,yo
2,to want,querer
3,this,este
4,yes,sí
5,no,no
6,to be able to,poder
7,to speak,hablar
8,to find,encontrar
9,to have (own),tener
10,to need,necesitar
11,where (the place that),donde
12,that (linking clauses),que
13,the,el / la
14,place,lugar
15,home,casa
16,something,algo
17,that (near you),ese
18,and,y
19,to see,ver
20,but,pero
21,to go (go away/leave),ir(se)
22,"to, at",a
23,to say,decir
24,or,o
25,a,un
26,more,más
27,"as, like",como
28,"is, oneself",se
29,to come,venir
30,my,mi
31,to be (what it is),ser
32,to be (how or where it is),estar
33,to live,vivir
34,to pass,pasar
35,day,día
36,year,año
37,week,semana
38,month,mes
39,each,cada
40,time (duration),tiempo
41,to know,saber
42,to know (be familiar with),conocer
43,to do,hacer
44,to practice,practicar
45,to arrive,llegar
46,"too, also",también
47,when,cuando
48,until,hasta
49,morning,mañana
50,he / she,él / ella
51,is pleasing to (to like),gustar
52,me,me
53,"you (one person, object)",te
54,"you, him, her",le
55,us (object),nos
56,them,les
57,friend,amigo
58,food,comida
59,other,otro
60,work (job),trabajo
61,"for, through",por
62,"for, in order to",para
63,example,ejemplo
64,of,de
65,"in, on",en
66,with,con
67,to give,dar
68,country,país
69,man,hombre
70,woman,mujer
71,to have (done something),haber
72,very,muy
73,much,mucho
74,large,grande
75,less,menos
76,little,poco
77,thing,cosa
78,if,si
79,our,nuestro
80,always,siempre
81,life,vida
82,afterwards,después
83,then,entonces
84,"to put, place",poner
85,"should, must, to owe",deber
86,well (properly),bien
87,between,entre
88,word,palabra
89,now,ahora
90,to learn,aprender
91,your,tu
92,to believe,creer
93,is seeming to (to seem),parecer
94,nothing,nada
95,all,todo
96,because,porque
97,to help,ayudar
98,"to ask for, to request",pedir
99,to ask (a question),preguntar
100,what,qué
101,"it, the, him",lo
102,"his, her, their",su
103,here,aquí
104,already,ya
105,without,sin
106,time (an occasion),vez
107,"there is, there are",hay
108,"on, about",sobre
109,you (informal),tú
110,"any, some",alguno
111,same,mismo
112,"like that, so",así
113,how,cómo
114,two,dos
115,only (pre-2010 spelling),sólo
116,first,primero
117,from,desde
118,nor,ni
119,thanks,gracias
120,good,bueno
121,one,uno
122,you (formal),usted
123,"so many, so much",tanto
124,Mr.,señor
125,"such, as, so",tan
126,who,quién
127,part,parte
128,is remaining to (to stay),quedar
129,please,por favor
130,where? (asking),dónde
131,never,nunca
132,to lead,llevar
133,"to leave behind, to let",dejar
134,truth,verdad
135,to follow,seguir
136,new,nuevo
137,"so, then",pues
138,to call (be called/name),llamar(se)
139,best,mejor
140,to think,pensar
141,that (over there),aquel
142,moment,momento
143,god,dios
144,"but, rather",sino
145,"to go out, to leave",salir
146,to return,volver
147,form,forma
148,before (in time),antes
149,although,aunque
150,world,mundo
151,three,tres
152,such,tal
153,there,ahí
154,"to take, to drink",tomar
155,certain,cierto
156,"to, towards",hacia
157,case,caso
158,night,noche
159,to feel,sentir
160,"then, later",luego
161,someone,alguien
162,"to treat, deal with",tratar
163,person,persona
164,higher,mayor
165,last,último
166,single,solo
167,own,propio
168,no one,nadie
169,whoever,quien
170,we,nosotros
